mode,end,final,return_pct,trades,wins,win_pct,profit_factor,claim_ratio,abs_pct_gap
same_open,2025-01-05,12216196456.73395,122161864.5673395,4,4,100.0,inf,0.9623101985563397,3.76898014436603
next_open,2025-01-04,13175618181.08601,131756081.8108601,4,4,100.0,inf,1.0378870209601383,3.7887020960138296
same_close,2025-01-15,12213249379.130276,122132393.79130276,4,4,100.0,inf,0.9620780475063794,3.7921952493620625
same_open,2025-01-04,12201536076.758007,122015260.76758008,4,4,100.0,inf,0.9611553519381204,3.8844648061879594
same_open,2025-01-21,13188005712.427431,131879957.12427431,4,4,100.0,inf,1.0388628277742318,3.886282777423178
next_open,2025-01-05,13191448939.421478,131914389.39421478,4,4,100.0,inf,1.0391340621526288,3.9134062152628823
next_open,2025-02-20,13192790529.110928,131927805.29110928,4,4,100.0,inf,1.0392397436096197,3.923974360961968
same_open,2025-01-03,12192093798.129433,121920837.98129433,4,4,100.0,inf,0.9604115524213012,3.9588447578698838
same_open,2025-02-12,12160909430.553484,121608994.30553484,4,4,100.0,inf,0.9579550566486482,4.204494335135179
next_open,2025-03-05,12156278335.04449,121562683.35044491,4,4,100.0,inf,0.9575902499385911,4.24097500614089
same_open,2025-02-04,12148982341.759497,121489723.41759495,4,4,100.0,inf,0.9570155204168767,4.298447958312335
same_close,2025-01-16,12147998315.41059,121479883.15410589,4,4,100.0,inf,0.9569380054068197,4.3061994593180275
same_open,2025-02-02,12135191645.341448,121351816.45341448,4,4,100.0,inf,0.9559291816488907,4.407081835110926
same_open,2025-02-15,12124755442.646708,121247454.42646708,4,4,100.0,inf,0.9551070874460905,4.489291255390948
same_open,2025-02-14,12115934366.559488,121159243.66559489,4,4,100.0,inf,0.9544122221080095,4.558777789199054
same_open,2025-02-10,12109598100.637682,121095881.00637682,4,4,100.0,inf,0.9539130934848807,4.608690651511926
next_open,2025-03-06,12063306169.565842,120632961.69565842,4,4,100.0,inf,0.9502665249691343,4.973347503086567
same_open,2025-01-07,12044620314.812101,120446103.14812101,4,4,100.0,inf,0.9487945783888749,5.120542161112507
same_open,2025-01-02,12039774934.989544,120397649.34989545,4,4,100.0,inf,0.9484128917947178,5.158710820528222
same_open,2025-02-19,12006851200.297806,120068412.00297806,4,4,100.0,inf,0.9458193803215981,5.418061967840194
