mode,pre_days,post_days,final,return_pct,trades,wins,win_pct,profit_factor,log_final_error,claim_ratio
next_open,670,600,12328108603.592937,123280986.03592937,4,4,100.0,inf,0.029299170792750746,0.9711258885009275
next_open,700,520,12318277072.60344,123182670.72603439,4,4,100.0,inf,0.030096977955240446,0.970351426288231
next_open,670,590,13086423622.472687,130864136.22472687,4,4,100.0,inf,0.030394249835144254,1.030860870577462
same_close,790,400,13095373644.22222,130953636.4422222,4,4,100.0,inf,0.031077932624907337,1.0315658933918364
same_open,710,540,12298296208.066587,122982862.08066586,4,4,100.0,inf,0.03172034516374962,0.9687774675042605
next_open,710,560,13110725167.471802,131107151.674718,4,4,100.0,inf,0.032249532038914445,1.0327751836515966
same_close,600,540,13118886578.711,131188765.78711002,4,4,100.0,inf,0.03287183720923576,1.0334180850078338
same_close,630,550,12277421473.86248,122774114.7386248,4,4,100.0,inf,0.03341915530590496,0.9671330956502296
next_open,800,480,13128227530.347075,131282175.30347075,4,4,100.0,inf,0.03358360704355859,1.0341539026623263
next_open,790,400,13128499231.115807,131284892.31115806,4,4,100.0,inf,0.03360430275107845,1.0341753054304983
same_open,710,520,12256426625.132635,122564166.25132635,4,4,100.0,inf,0.035130656393711074,0.9654792619777415
same_close,700,530,12245723721.143847,122457137.21143845,4,4,100.0,inf,0.036004286219523125,0.9646361588319253
same_close,800,460,12233680069.313791,122336700.69313791,4,4,100.0,inf,0.03698826874662157,0.9636874405442839
next_open,600,530,12215513889.969473,122155038.89969473,4,4,100.0,inf,0.0384743040504933,0.962256430514791
next_open,700,530,12200096801.126812,122000868.01126811,4,4,100.0,inf,0.039737192051678916,0.9610419754364132
next_open,610,540,12189708196.739683,121896981.96739683,4,4,100.0,inf,0.04058907299261214,0.9602236307097295
same_open,710,570,12180884623.893055,121808746.23893055,4,4,100.0,inf,0.04131318941416322,0.9595285686936521
same_close,610,540,12147672421.995237,121476624.21995239,4,4,100.0,inf,0.04404349704951442,0.9569123337046376
same_open,600,560,12145338040.031672,121453280.40031672,4,4,100.0,inf,0.0442356825321988,0.9567284467166687
same_close,820,430,13270132760.339857,132701227.60339856,4,4,100.0,inf,0.044334774563156085,1.045332246964023
same_open,820,380,12131717194.288948,121317071.94288948,4,4,100.0,inf,0.04535779944798419,0.9556554876481396
same_close,670,600,12129575037.719627,121295650.37719628,4,4,100.0,inf,0.04553438992423769,0.9554867428902386
same_close,720,560,12127755433.362879,121277454.33362879,4,4,100.0,inf,0.04568441503622028,0.9553434066369262
next_open,800,460,12117439518.77661,121174295.1877661,4,4,100.0,inf,0.04653538078255886,0.9545307879262692
